Changed database context to 'adventureworks'.
Name                                               SizeType   
LL Road Seat/Saddle                                Non-Numeric
ML Road Seat/Saddle                                Non-Numeric
HL Road Seat/Saddle                                Non-Numeric
LL Touring Seat/Saddle                             Non-Numeric
ML Touring Seat/Saddle                             Non-Numeric
HL Touring Seat/Saddle                             Non-Numeric
LL Mountain Frame - Silver, 42                     Numeric    
LL Mountain Frame - Silver, 44                     Numeric    
LL Mountain Frame - Silver, 48                     Numeric    
LL Mountain Frame - Silver, 52                     Numeric    
Mountain Tire Tube                                 Non-Numeric
Road Tire Tube                                     Non-Numeric
Touring Tire Tube                                  Non-Numeric
LL Mountain Frame - Black, 42                      Numeric    
LL Mountain Frame - Black, 44                      Numeric    
LL Mountain Frame - Black, 48                      Numeric    
LL Mountain Frame - Black, 52                      Numeric    
LL Mountain Tire                                   Non-Numeric
ML Mountain Tire                                   Non-Numeric
HL Mountain Tire                                   Non-Numeric
LL Road Tire                                       Non-Numeric
ML Road Tire                                       Non-Numeric
HL Road Tire                                       Non-Numeric
Touring Tire                                       Non-Numeric
LL Mountain Pedal                                  Non-Numeric
ML Mountain Pedal                                  Non-Numeric
HL Mountain Pedal                                  Non-Numeric
LL Road Pedal                                      Non-Numeric
ML Road Pedal                                      Non-Numeric
HL Road Pedal                                      Non-Numeric
Touring Pedal                                      Non-Numeric
ML Mountain Frame-W - Silver, 38                   Numeric    
LL Mountain Frame - Black, 40                      Numeric    
LL Mountain Frame - Silver, 40                     Numeric    
Front Derailleur                                   Non-Numeric
LL Touring Handlebars                              Non-Numeric
HL Touring Handlebars                              Non-Numeric
Front Brakes                                       Non-Numeric
LL Crankset                                        Non-Numeric
ML Crankset                                        Non-Numeric
HL Crankset                                        Non-Numeric
Chain                                              Non-Numeric
Touring-2000 Blue, 60                              Numeric    
Touring-1000 Yellow, 46                            Numeric    
Touring-1000 Yellow, 50                            Numeric    
Touring-1000 Yellow, 54                            Numeric    
Touring-1000 Yellow, 60                            Numeric    
Touring-3000 Blue, 54                              Numeric    
Touring-3000 Blue, 58                              Numeric    
Touring-3000 Blue, 62                              Numeric    
Touring-3000 Yellow, 44                            Numeric    
Touring-3000 Yellow, 50                            Numeric    
Touring-3000 Yellow, 54                            Numeric    
Touring-3000 Yellow, 58                            Numeric    
Touring-3000 Yellow, 62                            Numeric    
Touring-1000 Blue, 46                              Numeric    
Touring-1000 Blue, 50                              Numeric    
Touring-1000 Blue, 54                              Numeric    
Touring-1000 Blue, 60                              Numeric    
Touring-2000 Blue, 46                              Numeric    
Touring-2000 Blue, 50                              Numeric    
Touring-2000 Blue, 54                              Numeric    
Road-350-W Yellow, 40                              Numeric    
Road-350-W Yellow, 42                              Numeric    
Road-350-W Yellow, 44                              Numeric    
Road-350-W Yellow, 48                              Numeric    
Road-750 Black, 58                                 Numeric    
Touring-3000 Blue, 44                              Numeric    
Touring-3000 Blue, 50                              Numeric    
Mountain-400-W Silver, 38                          Numeric    
Mountain-400-W Silver, 40                          Numeric    
Mountain-400-W Silver, 42                          Numeric    
Mountain-400-W Silver, 46                          Numeric    
Mountain-500 Silver, 40                            Numeric    
Mountain-500 Silver, 42                            Numeric    
Mountain-500 Silver, 44                            Numeric    
Mountain-500 Silver, 48                            Numeric    
Mountain-500 Silver, 52                            Numeric    
Mountain-500 Black, 40                             Numeric    
Mountain-500 Black, 42                             Numeric    
Mountain-500 Black, 44                             Numeric    
Mountain-500 Black, 48                             Numeric    
Mountain-500 Black, 52                             Numeric    
LL Bottom Bracket                                  Non-Numeric
ML Bottom Bracket                                  Non-Numeric
HL Bottom Bracket                                  Non-Numeric
Road-750 Black, 44                                 Numeric    
Road-750 Black, 48                                 Numeric    
Road-750 Black, 52                                 Numeric    

(295 rows affected)
